"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"European Union","EUU","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","271484135.216473","296369930.634899","312875355.598599","325163288.816673","321405896.954904","316687650.393718","322010732.488834","319207224.167482","334631056.356151","338891791.953707","359820729.549465","376994649.545368","362275414.380898","364844521.718947","364843479.061749","365610235.134759","372957185.750037","360809409.367365","378470721.966819","397789572.067647","431349338.134929","461906449.256894","468662306.320796","","","",
"Fragile and conflict affected situations","FCS","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6668000","6428000","6413000","6566000","6693000","7485000","8238000","9978000","9526000","9783000","10022000","10278000","10480000","10480000","10440000","2690000","","",
"Fiji","FJI","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68000","72000","74000","78000","89000","83000","85000","99000","104000","94000","109000","121000","120000","124000","125000","128000","132000","132000","","","","156000","169000","174000","174000","","","",
"France","FRA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27107000","33144000","30960000","30646000","29973000","31153000","29642000","30457000","31941000","30608000","29636000","44265000","48069000","49276000","21287000","","",
"Faroe Islands","FRO","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203000","187000","168000","189000","219000","236000","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41345000","42050000","45957000","50872000","53881000","56837000","58281000","59377000","61424000","64194000","66494000","69536000","69450000","69011000","63513000","64647000","67493000","66858000","68959000","72204000","77619000","81757000","87242000","90571000","93086000","23827000","","",
"Georgia","GEO","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","228000","219000","355000","433000","373000","315000","306000","317000","","466000","857000","1346000","1473000","1872000","1980000","2086000","2237000","2734000","3220000","3106000","3136000","3400000","3851000","3698000","3780000","","","",
"Ghana","GHA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gibraltar","GIB","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gambia, The","GMB","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","387000","307000","","","","","","","","","","","","","","","","",
"Guinea-Bissau","GNB","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3765000","3835000","3799000","4941000","4681000","4594000","5802000","6291000","7235000","7685000","7961000","7848000","2324000","","",
"Grenada","GRD","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","333000","333000","331000","391000","485000","488000","580000","629000","658000","854000","982000","1055000","1168000","1277000","651000","694000","718000","721000","846000","992000","1130000","1195000","1328000","1538000","1703000","507799.987792969","","",
"Guam","GUM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income","HIC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","574878938.987049","610109478.390196","644643750.290246","639396289.906974","638005764.690574","627229194.26347","655857600.323493","683101339.777398","780689372.228802","806033509.510074","816213734.450086","783266709.249049","811128570.146149","819893615.548784","838746662.143907","857227623.488973","850607287.974686","889669300.853578","928589865.768957","982228992.375895","1016965040.25269","1037956545.53865","","","",
